id,bathrooms,square_footage,lot_size,year_built,bedrooms,price
43,3,8001,49028,1996,10,$86500.17
52,4,7655,4322,2012,5,$418040.08
20,6,7437,15720,2011,5,$172051.06
37,5,1749,8049,1997,9,$383157.04
11,2,2034,29503,2004,4,$420970.84
51,2,5281,41701,1997,6,$264389.07
35,5,6573,40342,1995,8,$403015.56
83,5,4964,28286,1966,8,$270855.65
76,4,5845,26544,1994,2,$447531.31
48,4,3441,6815,2011,9,$205183.99
74,3,6619,48217,2004,1,$180189.39
16,6,6568,45846,2007,2,$459466.27
35,4,8038,36096,2002,7,$321445.76
54,1,7239,8036,1993,6,$214349.06
91,5,2346,49246,2002,5,$413123.76
52,2,4745,29825,2002,10,$241838.18
75,5,8390,33688,2006,3,$186192.48
39,6,1134,43914,2013,1,$287450.73
3,3,9254,47428,2008,7,$378421.02
36,6,3837,45949,2010,7,$327853.56
17,6,8315,37799,2004,7,$168509.75
89,5,9681,29210,1994,6,$266640.28
71,3,1064,9600,1992,3,$208400.87
60,3,8971,10427,2003,4,$388083.08
10,2,2760,17897,2011,8,$132297.45
11,1,2014,39574,2002,1,$277239.76
97,2,6986,28501,1995,5,$195751.55
98,3,4308,27312,2001,1,$469427.39
45,5,8682,41441,2006,10,$111104.49
97,2,7315,13610,2003,2,$214570.35
23,3,1862,38160,1996,9,$127980.53
32,3,3504,17832,2010,8,$63135.00
62,1,5516,10088,1999,9,$433237.18
78,4,5676,32147,1997,1,$253012.79
78,5,8867,37919,1995,4,$455161.36
77,2,5860,11266,2010,2,$190811.78
10,6,7367,3725,1997,1,$418593.63
51,6,7553,22344,2007,7,$281142.06
26,2,6987,30163,1986,6,$230766.77
59,4,3680,48423,2009,4,$101171.12
81,5,2107,47006,1987,3,$64917.73
11,6,1002,2361,1989,6,$330994.79
62,4,6990,2928,2012,5,$227803.87
75,5,7615,43559,2003,7,$238846.19
9,1,2590,20332,1987,2,$359166.65
21,2,3141,49390,2009,10,$76048.61
72,4,9674,32995,2012,4,$217676.68
57,6,5424,34371,2004,2,$158816.39
31,1,7464,3510,1998,10,$208417.61
2,4,7995,27588,1996,9,$98844.81
87,2,6442,36820,2006,7,$254665.76
95,3,9950,45037,1998,2,$162581.08
15,3,1859,30770,1993,4,$495263.28
7,5,5908,2418,1997,5,$146802.35
17,3,3940,6145,1997,10,$192507.66
36,5,5536,17902,1994,4,$104804.94
